Item ID:102613,Old QRId:19450,New QRId:19450
Item ID:102614,Old QRId:None,New QRId:19451
Item ID:102615,Old QRId:None,New QRId:19452
Item ID:102616,Old QRId:None,New QRId:19453
Item ID:102617,Old QRId:None,New QRId:19454
Item ID:102618,Old QRId:None,New QRId:19455
Item ID:102619,Old QRId:None,New QRId:19456
Item ID:102620,Old QRId:None,New QRId:19457
Item ID:102621,Old QRId:None,New QRId:19458
Item ID:102622,Old QRId:None,New QRId:19459
Item ID:102623,Old QRId:None,New QRId:19460
Item ID:102624,Old QRId:None,New QRId:19461
Item ID:102625,Old QRId:None,New QRId:19462
Item ID:102626,Old QRId:None,New QRId:19463
Item ID:102627,Old QRId:None,New QRId:19464
Item ID:102628,Old QRId:None,New QRId:19465
Item ID:102629,Old QRId:None,New QRId:19466
Item ID:102630,Old QRId:None,New QRId:19467
Item ID:102631,Old QRId:None,New QRId:19468
Item ID:102632,Old QRId:None,New QRId:19469
Item ID:102633,Old QRId:None,New QRId:19470
Item ID:102634,Old QRId:None,New QRId:19471
Item ID:102635,Old QRId:None,New QRId:19472
Item ID:102636,Old QRId:None,New QRId:19473
Item ID:102637,Old QRId:None,New QRId:19474
Item ID:102638,Old QRId:None,New QRId:19475
Item ID:102639,Old QRId:None,New QRId:19476
Item ID:102640,Old QRId:None,New QRId:19477
Item ID:102641,Old QRId:None,New QRId:19478
Item ID:102642,Old QRId:None,New QRId:19479
Item ID:102643,Old QRId:None,New QRId:19480
Item ID:102644,Old QRId:None,New QRId:19481
Item ID:102645,Old QRId:None,New QRId:19482
Item ID:102646,Old QRId:None,New QRId:19483
Item ID:102647,Old QRId:None,New QRId:19484
Item ID:102648,Old QRId:None,New QRId:19485
Item ID:102649,Old QRId:None,New QRId:19486
Item ID:102650,Old QRId:None,New QRId:19487
Item ID:102651,Old QRId:None,New QRId:19488
Item ID:102652,Old QRId:None,New QRId:19489
Item ID:102653,Old QRId:None,New QRId:19490
Item ID:102654,Old QRId:None,New QRId:19491
Item ID:102655,Old QRId:None,New QRId:19492
Item ID:102656,Old QRId:None,New QRId:19493
Item ID:102657,Old QRId:None,New QRId:19494
Item ID:102658,Old QRId:None,New QRId:19495
Item ID:102659,Old QRId:None,New QRId:19496
Item ID:102660,Old QRId:None,New QRId:19497
Item ID:102661,Old QRId:None,New QRId:19498
Item ID:102662,Old QRId:None,New QRId:19499
Item ID:102663,Old QRId:None,New QRId:19500
Item ID:102664,Old QRId:None,New QRId:19501
Item ID:102665,Old QRId:None,New QRId:19502
Item ID:102666,Old QRId:None,New QRId:19503
Item ID:102667,Old QRId:None,New QRId:19504
Item ID:102668,Old QRId:None,New QRId:19505
Item ID:102669,Old QRId:None,New QRId:19506
Item ID:102670,Old QRId:None,New QRId:19507
Item ID:102671,Old QRId:None,New QRId:19508
Item ID:102672,Old QRId:None,New QRId:19509
Item ID:102673,Old QRId:None,New QRId:19510
Item ID:102674,Old QRId:None,New QRId:19511
Item ID:102675,Old QRId:None,New QRId:19512
Item ID:102676,Old QRId:None,New QRId:19513
Item ID:102677,Old QRId:None,New QRId:19514
Item ID:102678,Old QRId:None,New QRId:19515
Item ID:102679,Old QRId:None,New QRId:19516
Item ID:102680,Old QRId:None,New QRId:19517
Item ID:102681,Old QRId:None,New QRId:19518
Item ID:102682,Old QRId:None,New QRId:19519
Item ID:102683,Old QRId:None,New QRId:19520
Item ID:102684,Old QRId:None,New QRId:19521
Item ID:102685,Old QRId:None,New QRId:19522
Item ID:102686,Old QRId:None,New QRId:19523
Item ID:102687,Old QRId:None,New QRId:19524
Item ID:102688,Old QRId:None,New QRId:19525
Item ID:102689,Old QRId:None,New QRId:19526
Item ID:102690,Old QRId:None,New QRId:19527
Item ID:102691,Old QRId:None,New QRId:19528
Item ID:102692,Old QRId:None,New QRId:19529
Item ID:102693,Old QRId:None,New QRId:19530
Item ID:102694,Old QRId:None,New QRId:19531
Item ID:102695,Old QRId:None,New QRId:19532
Item ID:102696,Old QRId:None,New QRId:19533
Item ID:102697,Old QRId:None,New QRId:19534
Item ID:102698,Old QRId:None,New QRId:19535
Item ID:102699,Old QRId:None,New QRId:19536
Item ID:102700,Old QRId:None,New QRId:19537
Item ID:102701,Old QRId:None,New QRId:19538
Item ID:102702,Old QRId:None,New QRId:19539
Item ID:102703,Old QRId:None,New QRId:19540
Item ID:102704,Old QRId:None,New QRId:19541
Item ID:102705,Old QRId:None,New QRId:19542
Item ID:102706,Old QRId:None,New QRId:19543
Item ID:102707,Old QRId:None,New QRId:19544
Item ID:102708,Old QRId:None,New QRId:19545
Item ID:102709,Old QRId:None,New QRId:19546
Item ID:102710,Old QRId:None,New QRId:19547
Item ID:102711,Old QRId:None,New QRId:19548
Item ID:102712,Old QRId:None,New QRId:19549
Item ID:102713,Old QRId:None,New QRId:19550
Item ID:102714,Old QRId:None,New QRId:19551
Item ID:102715,Old QRId:None,New QRId:19552
Item ID:102716,Old QRId:None,New QRId:19553
Item ID:102717,Old QRId:None,New QRId:19554
Item ID:102718,Old QRId:None,New QRId:19555
Item ID:102719,Old QRId:None,New QRId:19556
Item ID:102720,Old QRId:None,New QRId:19557
Item ID:102721,Old QRId:None,New QRId:19558
Item ID:102722,Old QRId:None,New QRId:19559
Item ID:102723,Old QRId:None,New QRId:19560
Item ID:102724,Old QRId:None,New QRId:19561
Item ID:102725,Old QRId:None,New QRId:19562
Item ID:102726,Old QRId:None,New QRId:19563
Item ID:102727,Old QRId:None,New QRId:19564
Item ID:102728,Old QRId:None,New QRId:19565
Item ID:102729,Old QRId:None,New QRId:19566
Item ID:102730,Old QRId:None,New QRId:19567
Item ID:102731,Old QRId:None,New QRId:19568
Item ID:102732,Old QRId:None,New QRId:19569
Item ID:102733,Old QRId:None,New QRId:19570
Item ID:102734,Old QRId:None,New QRId:19571
Item ID:102735,Old QRId:None,New QRId:19572
Item ID:102736,Old QRId:None,New QRId:19573
Item ID:102737,Old QRId:None,New QRId:19574
Item ID:102738,Old QRId:None,New QRId:19575
Item ID:102739,Old QRId:None,New QRId:19576
Item ID:102740,Old QRId:None,New QRId:19577
Item ID:102741,Old QRId:None,New QRId:19578
Item ID:102742,Old QRId:None,New QRId:19579
Item ID:102743,Old QRId:None,New QRId:19580
Item ID:102744,Old QRId:None,New QRId:19581
Item ID:102745,Old QRId:None,New QRId:19582
Item ID:102746,Old QRId:None,New QRId:19583
Item ID:102747,Old QRId:None,New QRId:19584
Item ID:102748,Old QRId:None,New QRId:19585
Item ID:102749,Old QRId:None,New QRId:19586
Item ID:102750,Old QRId:None,New QRId:19587
Item ID:102751,Old QRId:None,New QRId:19588
Item ID:102752,Old QRId:None,New QRId:19589
Item ID:102753,Old QRId:None,New QRId:19590
Item ID:102754,Old QRId:None,New QRId:19591
Item ID:102755,Old QRId:None,New QRId:19592
Item ID:102756,Old QRId:None,New QRId:19593
Item ID:102757,Old QRId:None,New QRId:19594
Item ID:102758,Old QRId:None,New QRId:19595
Item ID:102759,Old QRId:None,New QRId:19596
Item ID:102760,Old QRId:None,New QRId:19597
Item ID:102761,Old QRId:None,New QRId:19598
Item ID:102762,Old QRId:None,New QRId:19599
Item ID:102763,Old QRId:None,New QRId:19600
Item ID:102764,Old QRId:None,New QRId:19601
Item ID:102765,Old QRId:None,New QRId:19602
Item ID:102766,Old QRId:None,New QRId:19603
Item ID:102767,Old QRId:None,New QRId:19604
Item ID:102768,Old QRId:None,New QRId:19605
Item ID:102769,Old QRId:None,New QRId:19606
Item ID:102770,Old QRId:None,New QRId:19607
Item ID:102771,Old QRId:None,New QRId:19608
Item ID:102772,Old QRId:None,New QRId:19609
Item ID:102773,Old QRId:None,New QRId:19610
Item ID:102774,Old QRId:None,New QRId:19611
Item ID:102775,Old QRId:None,New QRId:19612
Item ID:102776,Old QRId:None,New QRId:19613
Item ID:102777,Old QRId:None,New QRId:19614
Item ID:102778,Old QRId:None,New QRId:19615
Item ID:102779,Old QRId:None,New QRId:19616
Item ID:102780,Old QRId:None,New QRId:19617
Item ID:102781,Old QRId:None,New QRId:19618
Item ID:102782,Old QRId:None,New QRId:19619
Item ID:102783,Old QRId:None,New QRId:19620
Item ID:102784,Old QRId:None,New QRId:19621
Item ID:102785,Old QRId:None,New QRId:19622
